country_id,language_id
1,1237
2,416
2,1970
2,1894
2,2442
2,6846
3,1970
3,5487
3,6888
3,6674
4,1894
5,1894
6,6070
6,1870
7,2573
8,5399
10,6047
10,1894
10,2714
10,1610
10,2013
10,2289
11,1894
11,5987
11,6544
12,1610
12,2525
12,2551
12,5969
13,1894
14,4744
14,5180
14,6047
14,1894
15,574
15,5711
15,2573
16,942
16,2525
16,6093
17,1894
18,693
18,1894
19,4744
19,2013
19,1610
20,2013
20,4231
21,1082
21,6680
21,5679
22,416
22,1894
22,1970
22,6846
23,2013
23,5707
24,2013
25,2013
26,1894
26,5399
27,4315
27,1894
28,6047
28,5515
28,560
29,4744
29,5180
29,1894
30,5399
30,6047
30,1894
30,2013
31,1894
32,1831
33,1894
33,6626
34,691
34,5711
35,1894
35,6047
36,1894
36,2013
36,2643
37,4315
37,1894
38,2013
38,3664
38,3374
38,3244
38,6178
38,3826
39,2013
39,5733
39,3664
39,3244
40,2013
40,3244
40,3664
41,1610
41,2013
41,2714
41,5677
42,2013
43,1894
43,4297
44,6047
45,1894
45,2013
46,7795
46,7708
46,7191
46,1770
46,6790
46,7790
47,6047
48,6047
48,1894
49,6047
49,5180
50,5399
51,4744
51,5180
52,1894
52,7795
52,4315
53,1870
53,6680
53,1894
54,1292
54,5959
55,1610
56,2013
56,416
56,6034
56,86
57,1552
57,1894
57,1967
57,1610
58,1894
59,6047
60,416
61,6047
62,1930
62,5711
63,416
63,1894
63,2013
64,416
64,3993
65,86
65,416
65,6413
65,3393
65,6424
66,6047
66,1237
66,2202
66,1944
66,5012
67,317
67,1894
67,5115
67,6424
67,6034
67,5890
68,1986
68,6181
68,5986
69,1894
69,1984
70,1894
71,1894
71,1312
71,5395
71,7527
71,3249
71,6811
71,7134
71,4734
71,3262
72,1967
72,1552
73,2013
73,2019
73,1002
73,1424
73,1237
73,1944
73,5012
74,2013
75,1894
75,1534
75,2198
76,1894
77,2900
77,5711
77,2573
77,574
78,2013
79,1894
79,4858
80,1894
80,263
80,1948
80,6709
81,1894
81,6047
81,2714
81,5399
82,2893
82,1552
82,1894
83,1894
83,4202
83,7135
83,7139
83,2035
84,2013
85,2013
86,6047
86,2013
86,5399
87,1870
87,1894
87,2013
88,1894
89,6047
90,1894
90,1303
91,5399
91,5402
92,1894
93,7795
93,7708
93,1894
95,6047
95,1220
95,4086
96,2525
96,6093
97,2401
97,2013
98,2551
99,2670
99,1894
99,4744
99,2763
100,1894
100,2201
101,2420
101,416
101,1894
102,1894
102,2211
103,1894
103,2442
103,693
103,6346
103,3887
103,6252
103,6846
103,2321
103,2895
103,3883
103,5114
103,5178
103,450
103,11
103,5743
103,2899
103,4613
103,6002
103,3241
103,1731
103,4200
103,57
103,5738
103,2013
103,3843
103,30
104,1894
105,416
105,3397
105,2573
106,1970
106,3397
107,2707
107,1894
107,1610
107,1552
107,6181
107,4826
108,2714
108,1610
108,2013
108,6083
108,1237
108,1424
108,5969
109,1894
109,2013
109,4858
110,1894
111,416
111,1894
112,2849
113,1894
113,6178
114,3096
114,6888
114,5711
115,3065
115,2013
115,1894
116,1894
116,2172
117,416
117,2013
118,1894
119,3248
120,3248
120,1894
242,6070
242,6093
121,416
121,1894
122,1894
123,2906
123,5711
124,3543
124,2013
124,1894
125,416
125,2013
125,1894
125,2573
126,1894
127,1610
128,5900
128,6252
128,1894
129,1894
130,1894
130,6040
130,7915
130,7291
131,3670
131,5711
131,5393
132,3825
132,1610
132,2013
133,3550
133,5711
133,3670
134,416
134,2714
134,1894
135,416
135,10
135,2013
136,2013
136,1894
136,2714
137,5680
137,5711
137,2053
137,6680
138,6093
138,2551
138,942
138,6070
138,2525
138,5679
139,2013
140,2013
140,4148
141,3879
141,1894
142,4121
142,6070
142,6680
142,5651
142,6093
143,2013
143,592
144,4459
145,4226
145,5711
146,7795
146,5399
147,1985
147,6376
147,7795
147,1303
147,1894
148,2013
149,416
149,2028
149,6008
149,2013
149,3993
149,7139
150,1894
151,4161
151,1894
152,1894
152,767
152,2013
153,1664
153,1894
154,4963
154,7526
154,6676
154,6187
155,6047
156,4315
156,1894
156,7795
156,6252
156,6346
156,3883
156,5178
156,6390
157,5399
157,6961
158,1894
158,188
158,1610
158,2426
158,4518
159,2013
160,2013
160,2402
160,2901
160,1673
161,1894
162,1894
162,2402
162,7665
162,2587
162,2035
163,6047
163,1894
164,4744
164,2023
165,4826
165,4811
165,4800
165,5978
165,1986
166,4613
166,1894
167,4522
167,1894
168,4695
168,1894
169,1894
169,4297
170,416
170,1894
170,591
170,6846
171,6047
171,1894
172,6047
172,5515
172,560
173,2013
173,6248
174,1894
174,2474
174,3990
174,6561
175,6376
175,1894
175,1985
175,1288
175,2655
175,2441
175,6999
175,5177
175,787
175,640
175,5172
175,4311
175,6619
175,3953
175,1249
175,3315
175,5846
175,4316
175,274
175,2582
175,7605
175,4340
175,116
176,6846
176,1894
176,5178
176,6002
176,5487
176,1005
177,5393
178,2013
179,1894
180,1894
180,6047
181,416
182,5399
182,4420
183,5185
183,6042
183,1894
183,6553
183,2849
183,1985
183,7795
184,6047
184,2289
185,416
185,6047
186,2013
187,5680
187,2551
187,5679
188,6093
188,2551
188,942
188,5679
189,5711
189,6259
189,7217
189,15
189,160
189,3243
189,1307
189,6752
189,1322
189,6778
189,66
189,4209
189,1071
189,4475
189,3951
189,1314
189,590
189,2672
189,2910
189,3309
189,510
189,5734
189,4816
190,3092
190,1894
190,2013
190,6178
191,416
192,1894
192,6561
193,1894
193,2013
194,416
194,1894
194,1982
205,1894
195,6181
195,5978
195,5974
195,1986
196,1387
196,1894
196,4315
196,6252
196,7795
197,1894
198,5969
198,2412
199,5959
199,2551
200,1894
200,3983
200,6347
201,2714
202,2013
202,7139
202,2028
202,4202
203,6034
203,416
203,2714
203,1894
204,4744
204,1894
204,61
204,2493
204,2763
206,5399
207,6047
208,4744
208,1894
209,416
209,3397
209,2573
209,418
209,2013
209,1894
210,1894
210,6125
211,1894
212,2013
212,416
212,6084
213,2013
214,2013
214,1948
214,2485
214,2921
214,1545
214,2402
215,6390
215,1894
216,6375
216,5711
217,6451
217,1894
218,6354
218,5399
218,2670
218,1894
219,6674
219,5711
219,6888
220,416
220,2013
221,6544
221,1894
222,6680
222,3397
222,1660
222,574
222,510
223,1894
223,2493
223,2013
223,6047
223,7795
224,6691
224,1894
224,5987
224,2172
225,7795
225,2392
226,6178
226,1894
226,416
227,6801
227,5711
227,5679
227,5393
227,2551
228,1894
228,3832
228,6178
228,416
229,1894
230,1894
230,6047
230,2404
230,2013
231,6047
232,6888
232,5711
232,6375
233,3548
233,2714
233,2013
234,1894
234,2013
235,6047
236,1894
237,1894
238,6922
238,1894
238,2013
238,7795
238,3065
239,795
239,1894
239,2013
240,7096
240,2029
240,2013
241,5987
241,1894
244,416
245,2013
246,7915
246,7291
246,188
246,4883
246,1894
246,6626
246,6040
246,6627
246,6125
246,6914
246,4538
247,1894
247,692
247,3782
247,3838
247,3830
247,4963
247,6540
248,1894
248,5999
248,4538
248,4577
